#0) name												
#1) HI mass												
#2) Uncertainty in %												
#3) metallicity 12 + log(O/H)												
#4) H2mass,MW CO												
#5) H2mass, Z dependent CO												
#6) atomic weight												
#7) log Dust mass (graphite)												
#8) Uncertainty in %												
#9) log Dust mass (anorphous carbon)												
#10) log Stellar mass												
#11) log SFR
#12) Unknown
#13) Hubble type
#14) Category: 1)E	2)S0	3)Sa-Sab	4)Sb-Sc		5)Scd-Sdm	6)Sm-Irr	7)WR	8)BCD	
#15) log(B/D) based on Graham et al. (2008)
						
NGC3521	8.71E+09	16.08	8.39	4.77E+09	1.90E+10	1.38	7.91	12.08	7.54	10.99	0.37	0.06	SABbc	4	-0.82
NGC3621	6.99E+09	16.08	8.27	0	0	1.38	7.57	12.70	6.98	10.2	0.01	0.18	Sad	3	-0.34
NGC3627	8.46E+08	16.08	8.34	3.21E+09	1.61E+10	1.38	7.6	7.52	7.25	10.79	0.29	0.04	SABb	4	-0.54
NGC3773	9.03E+07	16.08	8.43	4.95E+07	1.64E+08	1.39	5.96	12.46	5.54	9.14	0.93	0.06	SA0	2	-0.31
NGC3938	8.00E+09	16.08	8.42	4.38E+09	1.52E+10	1.38	7.72	13.22	7.34	10.6	0.21	0.07	SAc	4	-1.06
NGC4236	2.69E+09	16.08	8.17	9.33E+07	1.02E+09	1.38	7.06	14.51	6.25	9.08	0.87	0.09	SBdm	5	-1.49
NGC4254	3.76E+09	16.08	8.45	6.82E+09	2.06E+10	1.39	7.81	9.45	7.46	10.73	0.49	0.05	SAc	4	-1.06
NGC4321	2.39E+09	16.08	8.5	5.34E+09	1.28E+10	1.39	7.88	11.64	7.55	10.86	0.35	0.04	SABbc	4	-0.82
NGC4536	1.73E+09	16.08	8.21	1.72E+09	1.57E+10	1.38	7.6	11.81	7.19	10.44	0.17	0.08	SABbc	4	-0.82
NGC4559	4.09E+09	16.08	8.29	1.92E+08	1.21E+09	1.38	7.46	11.95	7	9.82	0.4	0.09	SABcd	5	-1.23
NGC4569	1.55E+08	16.08	8.58	1.14E+09	1.90E+09	1.39	7.18	6.72	6.79	10.51	0.45	0.04	SABab	3	-0.54
NGC4579	5.47E+08	16.08	8.54	1.89E+09	3.77E+09	1.39	7.59	5.98	7.22	11.03	0.05	0.04	SABb	4	-0.6
NGC4594	2.60E+08	16.08	8.54	2.16E+08	4.31E+08	1.39	7.28	17.07	6.96	11.19	0.75	0.1	SAa	3	-0.34
NGC4625	1.00E+09	16.08	8.35	2.09E+07	1.00E+08	1.38	6.63	14.87	6.01	9.27	1.23	0.13	SABmp	6	-1.57
NGC4631	8.77E+09	16.08	8.12	1.10E+09	1.52E+10	1.38	7.59	9.40	7.2	10.44	0.27	0.37	SBd	5	-1.06
NGC4725	3.59E+09	16.08	8.35	2.16E+09	1.03E+10	1.38	0	9.86	0	10.85	0.09	0	SABab	3	-0.54
NGC4736	4.03E+08	16.08	8.31	4.41E+08	2.54E+09	1.38	0	11.28	0	10.51	0.36	0	SAab	3	-0.54
O154	3.55E+08	16.08	7.54	4.37E+06	2.40E+08	1.37	0	0.00	0	7.35	2.24	0	IBm	6	-1.39
NGC4826	2.77E+08	16.08	8.54	4.80E+08	9.58E+08	1.39	6.6	8.08	6.31	10.48	0.57	0.06	SAab	3	-0.54
O165	1.12E+08	14.74	7.63	1.38E+06	7.60E+07	1.37	0	0.00	0	8.01	2.3	0	Im	6	-1.39
NGC5055	5.59E+09	16.08	8.4	2.73E+09	1.04E+10	1.38	7.76	8.21	7.46	10.77	0.11	0.06	SAbc	4	-1.06
NGC5398	2.48E+08	11.97	8.35	0	0	1.38	6.78	43.26	6.43	8.99	1.18	0.06	SBdm	5	-1.49
NGC5408	3.22E+08	16.08	7.81	3.97E+06	2.18E+08	1.37	5.64	25.68	5.2	8.6	1.06	0.04	IBm	6	-1.39
NGC5457	1.16E+10	16.08	8.42	0	0	1.38	8.16	15.15	7.53	10.67	0.32	0.16	SAB(rs)cd	5	-1.23
NGC5713	5.51E+09	16.08	8.24	3.39E+09	2.69E+10	1.38	7.43	7.68	7.04	10.5	0.32	0.04	SABbcp	4	-0.82
NGC5866	-2.85E+08	0	8.47	6.38E+08	1.76E+09	1.39	6.78	9.06	6.45	10.8	0.38	0.05	S0	2	-0.31
NGC6946	3.58E+09	16.08	8.4	4.50E+09	1.71E+10	1.38	7.85	6.24	7.47	10.77	0.53	0.03	SABcd	5	-1.23
NGC7331	8.85E+09	16.08	8.34	6.70E+09	3.36E+10	1.38	8.08	8.57	7.72	11.15	0.49	0.06	SAb	4	-0.6
